word,sentiment
terka,neutral
semarak,neutral
sembari,neutral
gerak,neutral
total,neutral
ngusaha,neutral
bosqu,neutral
bayar,neutral
palsu,neutral
guyur,neutral
wkwk,neutral
military,neutral
menlusugiono,neutral
ukur,neutral
jajah,neutral
dukungerat,neutral
lompat,neutral
usutkorupsijokowi,neutral
payah,neutral
kadung,neutral
mulu,neutral
pemdanya,neutral
ngambil,neutral
coast,neutral
rektor,neutral
kasier,neutral
hoping,neutral
lahir,neutral
cecunguk,neutral
pensejahteraan,neutral
jerit,neutral
tumpul,neutral
nsmbah,neutral
cpid,neutral
offense,neutral
ketidakpercayaan,neutral
picek,neutral
viralkan,neutral
organisir,neutral
blio,neutral
hasrat,neutral
bisa,neutral
nelayan,neutral
meciptakan,neutral
mahendra,neutral
dsbnya,neutral
sah,neutral
uswatun,neutral
terdaahulu,neutral
bahlil,neutral
gemah,neutral
suharto,neutral
hahahahahahahahaha,neutral
kelici,neutral
irlandia,neutral
lihat,neutral
jokodol,neutral
endingnya,neutral
oon,neutral
oke,neutral
gembor,neutral
pdi,neutral
samsul,neutral
rakyate,neutral
top,neutral
colong,neutral
gatal,neutral
mp,neutral
sistem,neutral
shows,neutral
that,neutral
mytv,neutral
yani,neutral
cari,neutral
widi,neutral
aqsa,neutral
privilege,neutral
rana,neutral
toyota,neutral
sabar,neutral
azab,neutral
dewanpenasehatdpw,neutral
surga,neutral
argo,neutral
guncang,neutral
mv,neutral
oknum,neutral
rakayt,neutral
begono,neutral
enak,neutral
seru,neutral
taruh,neutral
rasai,neutral
datuk,neutral
masa,neutral
rawan,neutral
simply,neutral
huber,neutral
dijodohin,neutral
kakap,neutral
digoblokin,neutral
plnuntukindonesia,neutral
ayem,neutral
kudu,neutral
presidensial,neutral
wadirlantas,neutral
maklu,neutral
min,neutral
news,neutral
sedekah,neutral
sila,neutral
sinar,neutral
djelantik,neutral
dbilang,neutral
ukhuwah,neutral
yupp,neutral
tok,neutral
manufacture,neutral
naturalisasi,neutral
horeg,neutral
i,neutral
bohirnya,neutral
good,neutral
