"id","slang","formal"
"1442","alak","kepala"
"1443","hilangv","hilang"
"1444","bungggg","bung"
"1445","gapap","tidak apa-apa"
"1446","kyak","seperti"
"1447","pling","paling"
"1448","gokiiill","gila"
"1449","busedh","buset"
"1450","gokilnya","gilanya"
"1451","duluuu","dulu"
"1452","keceee","kece"
"1453","nyaa","nya"
"1454","klu","kalau"
"1455","gilaa","gila"
"1456","duuhhh","duh"
"1457","amiiiiinnnnn","amin"
"1458","dg","dengan"
"1459","tullus","tulus"
"1460","tw","tau"
"1461","pluk","peluk"
"1462","durhaka2","durhaka-durhaka"
"1463","kpada","kepada"
"1464","seburuk""""","seburuk-buruk"
"1465","ortu","orang tua"
"1466","ktaa","kita"
"1467","yup","ya"
"1468","tdk","tidak"
"1469","tetaplaah","tetaplah"
"1470","ajja","saja"
"1471","dech","deh"
"1472","oprasi","operasi"
"1473","gya","gaya"
"1474","kndung","kandung"
"1475","sbg","sebagai"
"1476","u","lu"
"1477","ksenangan","kesenangan"
"1478","ddpt","didapat"
"1479","jwab","jawab"
"1480","mmbodohkan","membodohkan"
"1481","orlaen","orang lain"
"1482","bgtu","begitu"
"1483","drpd","daripada"
"1484","malem","malam"
"1485","aplikasiin","mengaplikasikan"
"1486","berangat","berangkat"
"1487","praktekin","mempraktikkan"
"1488","dahh","dah"
"1489","gmn","bagaimana"
"1490","omdo","omong doang"
"1491","kate","kata"
"1492","cabe2","cabe-cabe"
"1493","prjuangan","perjuangan"
"1494","kmewahan","kemewahan"
"1495","stimpal","setimpal"
"1496","ddpat","didapat"
"1497","sprt","seperti"
"1498","bc","baca"
"1499","mnilai","menilai"
"1500","kata2","kata-kata"
"1501","usahh","usah"
"1502","segala2nya","segala-galanya"
"1503","sekarng","sekarang"
"1504","sprti","seperti"
"1505","mkanya","makanya"
"1506","hay","hai"
"1507","mreka","mereka"
"1508","bhagia","bahagia"
"1509","korek2","korek-korek"
"1510","ngebales","membalas"
"1511","krna","karena"
"1512","sihh","sih"
"1513","sasama","sesama"
"1514","dehh","deh"
"1515","cabe2an","cabe-cabean"
"1516","terong2an","terong-terongan"
"1517","seklian","sekalian"
"1518","kluar","keluar"
"1519","tuuu","itu"
"1520","ngurusan","mengurusi"
"1521","campurin","mencampuri"
"1522","emnknya","memangnya"
"1523","py","punya"
"1524","unyuu","unyu"
"1525","mrangkul","merangkul"
"1526","adlh","adalah"
"1527","wlo","walau"
"1528","lh","boleh"
"1529","manusiy","manusia"
"1530","tx","tak"
"1531","samara","sakinah mawadah rahman"
"1532","teringt","teringat"
"1533","trmsuk","termasuk"
"1534","dn","dan"
"1535","pilihnmu","pilihanmu"
"1536","swmntara","sementara"
"1537","trmasuk","termasuk"
"1538","orang2","orang-orang"
"1539","sgt","sangat"
"1540","liht","lihat"
"1541","suaminy","suaminya"
"1542","jadulnya","jaman dulunya"
"1543","mantaff","mantap"
"1544","ngata2in","mengatai-ngatai"
"1545","bagaimna","bagaimana"
"1546","mulusssss","mulus"
"1547","bgus","bagus"
"1548","gmana","bagaimana"
"1549","kpleset","kepleset"
"1550","yawlah","ya allah"
"1551","kepeleset","kepleset"
"1552","kayanye","sepertinya"
"1553","amiinnnn","amin"
"1554","komen2an","komen-komenan"
"1555","wewww","wow"
"1556","dumsss","dong"
"1557","tar","entar"
"1558","perbaikin","memperbaiki"
"1559","permasalhkan","permasalahkan"
"1560","betul2","betul-betul"
"1561","jauhin","jauhi"
"1562","dateng","datang"
"1563","adiik","adik"
"1564","manisss","manis"
"1565","besar""""","besar-besar"
"1566","masing""""","masing-masing"
"1567","ddlm","di dalam"
"1568","kmbali","kembali"
"1569","dkuburnya","dikuburnya"
"1570","fi","di"
"1571","ttg","tentang"
"1572","rata2","rata-rata"
"1573","lbih","lebih"
"1574","critamu","ceritamu"
"1575","ja","saja"
"1576","bres","beres"
"1577","cmkn","camkan"
"1578","diurusin","diurusi"
"1579","biarin","biarkan"
"1580","kale","kali"
"1581","donks","dong"
"1582","membanding""""","membanding-banding"
"1583","mengperbolehkan","memperbolehkan"
"1584","krena","karena"
"1585","ngri","negeri"
"1586","dingin""""","dingin-dingin"
"1587","lma","lama"
"1588","dibangga'in","dibangga-banggakan"
"1589","ngebolehin","membolehkan"
"1590","denger","dengar"
"1591","jelek""""in","menjelek-jelekkan"
"1592","stiap","setiap"
"1593","gausa","tidak usah"
"1594","maksain","memaksakan"
"1595","smog","semoga"
"1596","mnerima","menerima"
"1597","baikxa","baiknya"
"1598","aaamin","amin"
"1599","amienn","amien"
"1600","sekangen2","sekangen-kangen"
"1601","kt","kita"
"1602","amiiiiiiiiiinnnnnnn","amin"
"1603","nolongin","menolong"
"1604","amiiiiiiiiiiin","amin"
"1605","seluru","seluruh"
"1606","amiennn","amien"
"1607","tebir","ribet"
"1608","doangam","doang"
"1609","tebir""""","ribet-ribet"
"1610","amad","amat"
"1611","mkst","maksud"
"1612","wong2","wong-wong"
"1613","rempong","repot"
"1614","ngurusin","mengurusi"
"1615","kerjaan","pekerjaan"
"1616","bingittzz","banget"
"1617","bangets","banget"
"1618","ikh","ih"
"1619","dwh","deh"
"1620","nengok","menengok"
"1621","bante","bantai"
"1622","la","lah"
"1623","komenannya","komentarnya"
"1624","hadapin","menghadapi"
"1625","dengarin","mendengarkan"
"1626","ush","usah"
"1627","cock","cocok"
"1628","widihh","idih"
"1629","mantepp","mantap"
"1630","cita2","cita-cita"
"1631","temen-temen","teman-teman"
"1632","stu","satu"
"1633","syratnya","syaratnya"
"1634","pnjang","panjang"
"1635","shat","sehat"
"1636","inginkn","inginkan"
"1637","belanjaa","belanja"
"1638","burem","buram"
"1639","tlp","telepon"
"1640","dngan","dengan"
"1641","ngerasain","merasai"
"1642","kancang","kencang"
"1643","tmbh","tambah"
"1644","mansyoallah","masyaallah"
"1645","skali","sekali"
"1646","canttttikkk","cantik"
"1647","subhanalloh","subhanallah"
"1648","lkuin","lakukan"
"1649","langgenh","langgeng"
"1650","foto2nya","foto-fotonya"
"1651","tanggung2","tanggung-tanggung"
"1652","salluutt","salut"
"1653","pkai","pakai"
"1654","org2","orang-orang"
"1655","mkn","makin"
"1656","seneng","senang"
"1657","pdng","padang"
"1658","warbiyasah","luar biasa"
"1659","pk","pakai"
"1660","keedaannya","keadaannya"
"1661","lagu2","lagu-lagu"
"1662","saya2","saya-saya"
"1663","sekrng","sekarang"
"1664","lagu2nya","lagu-lagunya"
"1665","ttap","tetap"
"1666","spertinya","sepertinya"
"1667","mrah","marah"
"1668","gra2","gara-gara"
"1669","sngaja","sengaja"
"1670","jlek","jelek"
"1671","udah2","sudah-sudah"
"1672","ungkit2","ungkit-ungkit"
"1673","pura2","pura-pura"
"1674","gatau","tidak tau"
"1675","curhat2","curhat-curhat"
"1676","matany","matanya"
"1677","dteng","datang"
"1678","mata'y","matanya"
"1679","baju2","baju-baju"
"1680","buruannn","buruan"
"1681","emng","memang"
"1682","perubut","perebut"
"1683","sumai","suami"
"1684","tk","tak"
"1685","urusin","urus"
"1686","apah","apa"
"1687","bagus2","bagus-bagus"
"1688","say","sayang"
"1689","mmbela","membela"
"1690","mslhnya","masalahnya"
"1691","hnya","hanya"
"1692","sndri","sendiri"
"1693","sj","saja"
"1694","llki","lelaki"
"1695","dluar","diluar"
"1696","sna","sana"
"1697","boleh2","boleh-boleh"
"1698","dya","dia"
"1699","maluuuu","malu"
"1700","beda2","beda-beda"
"1701","nyaranin","menyarankan"
"1702","x","kali"
"1703","tongolin","menongol"
"1704","cabol","cabul"
"1705","ape","apa"
"1706","nyet","monyet"
"1707","muna","munafik"
"1708","jing","anjing"
"1709","tot","entot"
"1710","nihh","nih"
"1711","hidiyah","hidayah"
"1712","percya","percaya"
"1713","bgi","bagi"
"1714","tlg","tolong"
"1715","sya","saya"
"1716","sdri","sendiri"
"1717","tdi","tadi"
"1718","mgkin","mungkin"
"1719","bhwa","bahwa"
"1720","skaligus","sekaligus"
"1721","cek2","cek-cek"
"1722","spti","seperti"
"1723","smakin","semakin"
"1724","sbgai","sebagai"
"1725","mgk","mungkin"
"1726","bgmn","bagaimana"
"1727","sapa2","sapa-sapa"
"1728","sama2","sama-sama"
"1729","kyknya","sepertinya"
"1730","pnya","punya"
"1731","dng","dengan"
"1732","termurahhh","termurah"
"1733","bbrp","beberapa"
"1734","bhw","bahwa"
"1735","banyaaaaaak","banyak"
"1736","baik2nya","baik-baiknya"
"1737","tunjukan","tunjukkan"
"1738","anak2mu","anak-anakmu"
"1739","anak2","anak-anak"
"1740","ngasih2","mengasih-ngasih"
"1741","berfikir","berpikir"
"1742","amit2","amit-amit"
"1743","mba","mbak"
"1744","elu","lu"
"1745","ngajuin","mengajukan"
"1746","tiba2","tiba-tiba"
"1747","jkt","jakarta"
"1748","terbaeq","terbaik"
"1749","namany","namanya"
"1750","jels","jelas"
"1751","diakibtkn","diakibatkan"
"1752","suk","suka"
"1753","jelek2","jelek-jelek"
"1754","dsrny","dasarnya"
"1755","jkrta","jakarta"
"1756","mantaap","mantap"
"1757","benar2","benar-benar"
"1758","main2","main-main"
"1759","lanjutkaaaaan","lanjutkan"
"1760","hiduppp","hidup"
"1761","ncek","encek"
"1762","majuuu","maju"
"1763","teruuss","terus"
"1764","kdg2","kadang-kadang"
"1765","looohh","loh"
"1766","sebelumbya","sebelumnya"
"1767","tunjukin","tunjukkan"
"1768","tahun""""","tahun-tahun"
"1769","koment","komentar"
"1770","nyampein","menyampaikan"
"1771","hokiii","hoki"
"1772","naksir","menaksir"
"1773","bangt""""","banget-banget"
"1774","nafkahin","menafkahi"
"1775","ngitem","menghitam"
"1776","banyaaaak","banyak"
"1777","sama""""","sama-sama"
"1778","gx","tidak"
"1779","lhat","lihat"
"1780","cantika","cantik"
"1781","cwek","cewek"
"1782","kngen","kangen"
"1783","fillm","film"
"1784","sinet","sinetron"
"1785","jendral","jenderal"
"1786","nanya","bertanya"
"1787","maenya","mainnya"
"1788","cantiks","cantik"
"1789","wktu","waktu"
"1790","pilm","film"
"1791","taon","tahun"
"1792","nd","indak"
"1793","slah","salah"
"1794","cini","sini"
"1795","jaaangan","jangan"
"1796","nambah","menambah"
"1797","naek","naik"
"1798","terimaksih","terima kasih"
"1799","inii","ini"
"1800","kaannnn","kan"
"1801","tidakkkk","tidak"
"1802","kemuh","kamu"
"1803","da","dah"
"1804","keren2","keren-keren"
"1805","sby","surabaya"
"1806","tgl","tanggal"
"1807","pinginnn","ingin"
"1808","buanget","banget"
"1809","ketemuuu","ketemu"
"1810","kebawa","terbawa"
"1811","mimpiii","mimpi"
"1812","wanjerrr","anjir"
"1813","satupunn","satupun"
"1814","motret","memotret"
"1815","temen2","teman-teman"
"1816","lapakk","lapak"
"1817","nyeniii","menyeni"
"1818","bget","banget"
"1819","seeh","sih"
"1820","abis","habis"
"1821","deuhh","duh"
"1822","b2an","berduaan"
"1823","dihargain","dihargai"
"1824","engga""""","tidak-tidak"
"1825","tahun2","tahun-tahun"
"1826","lebayy","lebay"
"1827","gilsss","gila"
"1828","nganbek","mengambek"
"1829","sukaa","suka"
"1830","enk","enak"
"1831","mendam","memendam"
"1832","manta","mantan"
"1833","relaaaa","rela"
"1834","bgun","bangun"
"1835","tdur","tidur"
"1836","cntk","cantik"
"1837","knl","kenal"
"1838","anugrah","anugerah"
"1839","slm","salam"
"1840","kliatan","kelihatan"
"1841","awoohhh","allah"
"1842","cantiikk","cantik"
"1843","gt","begitu"
"1844","sbbyak","sebanyak"
"1845","apun","apapun"
"1846","nyangkutnya","menyangkutnya"
"1847","untk","untuk"
"1848","ampunnnnn","ampun"
"1849","hy","hai"
"1850","wadaaw","waduh"
"1851","paraah","parah"
"1852","sampw","sampai"
"1853","dijelekin","dijelekkan"
"1854","napa","kenapa"
"1855","azeeeek","asik"
"1856","ntikk","cantik"
"1857","uhh","uh"
"1858","mayan","lumayan"
"1859","mnisss","manis"
"1860","tambahim","tambahkan"
"1861","tambahin","tambahkan"
"1862","bener""""","benar-benar"
"1863","make","memakai"
"1864","canttikkk","cantik"
"1865","baanggeettt","banget"
"1866","ap","apa"
"1867","siiihh","sih"
"1868","krpoooo","kepo"
"1869","pengn","ingin"
"1870","nyusul","menyusul"
"1871","nyok","yuk"
"1872","dekkk","dek"
"1873","ngiri","mengiri"
"1874","mmang","memang"
"1875","nentuin","menentukan"
"1876","mnjmput","menjemput"
"1877","ygs","sayang"
"1878","mblooo","jomblo"
"1879","ber'expresi","berekspresi"
"1880","jdulnya","judulnya"
"1881","ciumman","ciuman"
"1882","aurot","aurat"
"1883","laginy","laginya"
"1884","nyaaaaaaaaaaaaa","nya"
"1885","alkhamdulilah","alhamdulillah"
"1886","ktnya","katanya"
"1887","selaluu","selalu"
"1888","anjirrr","anjir"
"1889","ngeh","engah"
"1890","amen","amin"
"1891","qm","kamu"
"1892","nahhh","nah"
"1893","ngmngnya","mengomongnya"
"1894","sampai2","sampai-sampai"
"1895","hal2","hal-hal"
"1896","komunitas2","komunitas-komunitas"
"1897","fotony","fotonya"
"1898","halllo","halo"
"1899","ngiritya","mengiritnya"
"1900","hematt","hemat"
"1901","ciyeeee","cie"
"1902","yeeee","ya"
"1903","nget","banget"
"1904","kususnya","khususnya"
"1905","krm","kirim"
"1906","sam","sama"
"1907","ajaaahhhhh","saja"
"1908","syediiihhh","sedih"
"1909","malangg","malang"
"1910","belooomm","belum"
"1911","yaakk","ya"
"1912","kebukti","terbukti"
"1913","anak2e","anak-anaknya"
"1914","tuwanya","tuanya"
"1915","comen2nya","komen-komennya"
"1916","pedesssss","pedas"
"1917","jelas2","jelas-jelas"
"1918","skg","sekarang"
"1919","nyebut2","menyebut-nyebut"
"1920","plg","pulang"
"1921","smbil","sambil"
"1922","hellooooooo","halo"
"1923","ngrebut","merebut"
"1924","mnjdi","menjadi"
"1925","taek","tahi"
"1926","lupain","melupakan"
"1927","bangkret","bangkrut"
"1928","taekk","tahi"
"1929","lahhhhhh","lah"
"1930","kedokk","kedok"
"1931","mati""""an","mati-matian"
"1932","nyimak","menyimak"
"1933","komenx","komennya"
"1934","serem2","seram-seram"
"1935","ngumpet""""","mengumpet-ngumpet"
"1936","blim","belum"
"1937","sekrang","sekarang"
"1938","ngerebut","merebut"
"1939","mnjijikaaaaaan","menjijikkan"
"1940","astgfrlh","astagfirullah"
"1941","sahabatt","sahabat"
"1942","gnyngka","tidak menyangka"
"1943","sendirir","sendiri"
"1944","brengsekk","brengsek"
"1945","ngomentnya","mengomentarinya"
"1946","nusuk","menusuk"
"1947","skr","sekarang"
"1948","dpotong","dipotong"
"1949","helo","halo"
"1950","kmrin","kemarin"
"1951","ngmgin","mengomongkan"
"1952","bilangg","bilang"
"1953","gkhianati","mengkhianati"
"1954","kpd","kepada"
"1955","hr","hari"
"1956","sp","sapa"
"1957","pljaran","pelajaran"
"1958","spy","supaya"
"1959","mngikuti","mengikuti"
"1960","klkuan","kelakuan"
"1961","dibikin2","dibikin-bikin"
"1962","gimana","bagaimana"
"1963","nnt","nanti"
"1964","cew","cewek"
"1965","cow","cowok"
"1966","kasiannn","kasihan"
"1967","syekaliii","sekali"
"1968","hgga","hingga"
"1969","cieeeee","cie"
"1970","sholihah","salihah"
"1971","adeuh","aduh"
"1972","halahh","alah"
"1973","luu","lu"
"1974","yuuks","yuk"
"1975","yoo","ya"
"1976","ginian","beginian"
"1977","judulnyaa","judulnya"
"1978","ayoookkkkkk","ayo"
"1979","artix","artinya"
"1980","cewe","cewek"
"1981","cowo","cowok"
"1982","lt","lantai"
"1983","nama""""","nama-nama"
"1984","cwe","cewek"
"1985","serem","seram"
"1986","kepoin","kepo"
"1987","keluarin","keluarkan"
"1988","gajelas","tidak jelas"
"1989","mbak2","mbak-mbak"
"1990","pedes","pedas"
"1991","komentnya","komentarnya"
"1992","omongin","omongkan"
"1993","ngalirrrrr","mengalir"
"1994","idup","hidup"
"1995","nmbah","menambah"
"1996","terossss","terus"
"1997","ngehujat","menghujat"
"1998","dosaa","dosa"
"1999","ngebela","membela"
"2000","seindonesiyah","seindonesia"
"2001","seh","sih"
"2002","senyumin","senyumi"
"2003","mh","mah"
"2004","ngalir","mengalir"
"2005","ngrusak","merusak"
"2006","px","punya"
"2007","kslhn","kesalahan"
"2008","skrngnya","sekarangnya"
"2009","emang","memang"
"2010","kalik","kali"
"2011","bilangin","bilang"
"2012","nyambungin","menyambung"
"2013","sllu","selalu"
"2014","scra","secara"
"2015","nggali","menggali"
"2016","cmpur","campur"
"2017","dgr","dengar"
"2018","kurng","kurang"
"2019","nangiiiiis","menangis"
"2020","nangiiis","menangis"
"2021","ngomentarin","mengomentari"
"2022","idupnya","hidupnya"
"2023","ortunya","orang tuanya"
"2024","woey","woy"
"2025","bloghhh","goblok"
"2026","ngomongin","mengomongkan"
"2027","doank","doang"
"2028","abal""""","abal-abal"
"2029","dikata2in","dikata-katai"
"2030","ngehina","menghina"
"2031","gmna","bagaimana"
"2032","kebanggan","kebanggaan"
"2033","dah","deh"
"2034","jngn","jangan"
"2035","mnjawab","menjawab"
"2036","woooiiiiiiii","woy"
"2037","dosaaaaaaaaaa","dosa"
"2038","ingt","ingat"
"2039","karmaaa","karma"
"2040","woooiiiii","woy"
"2041","ngkkkkkk","mengakak"
"2042","makny","maknya"
"2043","wdooohhh","waduh"
"2044","kasihn","kasihan"
"2045","lhirr","lahir"
"2046","hujatann","hujatan"
"2047","palgi","apalagi"
"2048","wihhh","wih"
"2049","kakakkk","kakak"
"2050","bagusss","bagus"
"2051","jt","juta"
"2052","ngets","banget"
"2053","stp","setiap"
"2054","penbelian","pembelian"
"2055","cuaantik","cantik"
"2056","sukakkk","suka"
"2057","m","sama"
"2058","cucokkk","cocok"
"2059","lyt","lihat"
"2060","expresi","ekspresi"
"2061","natap","menatap"
"2062","ccok","cocok"
"2063","helloo","halo"
"2064","dripada","daripada"
"2065","difotoin","difoto"
"2066","psangan","pasangan"
"2067","cakepp","cakep"
"2068","ngiriii","mengiri"
"2069","coxok","cocok"
"2070","buatin","membuat"
"2071","nihhh","nih"
"2072","statusx","statusnya"
"2073","cem","macam"
"2074","yee","ya"
"2075","sunggu","sungguh"
"2076","lagiii","lagi"
"2077","ammiiin","amin"
"2078","haddeh","aduh"
"2079","maaasss","mas"
"2080","segerrrr","segar"
"2081","kemn","kemana"
"2082","suipit","sipit"
"2083","sipiit","sipit"
"2084","kedengeran","kedengaran"
"2085","semangaatt","semangat"
"2086","promil","program hamil"
"2087","lancr","lancar"
"2088","keputihn","keputihan"
"2089","gratisss","gratis"
"2090","kebayang","terbayang"
"2091","mdh""""","mudah-mudah"
"2092","bz","bisa"
"2093","amiinn","amin"
"2094","ammin","amin"
"2095","mendapatkn","mendapatkan"
"2096","lucuuuk","lucu"
"2097","amaattt","amat"
"2098","aje","saja"
"2099","yaoloh","yaallah"
"2100","ngerayain","merayakan"
"2101","sotoy","sok tau"
"2102","yok","yuk"
"2103","d.bikinin","dibikin"
"2104","mmz","mas"
"2105","bikinin","membikin"
"2106","bapeeeer","bawa perasaan"
"2107","keliatannya","kelihatannya"
"2108","siih","sih"
"2109","diginiin","dibeginikan"
"2110","hadeehh","aduh"
"2111","pu","punya"
"2112","suamiiiii","suami"
"2113","krenn","keren"
"2114","kebykan","kebanyakan"
"2115","tingal","tinggal"
"2116","pernikahn","pernikahan"
"2117","ngtain","mengatai"
"2118","macem","macam"
"2119","bagusnyeee","bagusnya"
"2120","kemaren","kemarin"
"2121","hmpir","hampir"
"2122","liatnyaaa","lihatnya"
"2123","waw","wow"
"2124","mbuh","embuh"
"2125","bsk","besok"
"2126","waaa","wah"
"2127","berbiiiiiihhh","barbie"
"2128","canteek","cantik"
"2129","teru","terus"
"2130","nyatok","mencatok"
"2131","nyampenya","sampainya"
"2132","goncengin","boncengkan"
"2133","kasi","kasih"
"2134","dianterin","diantar"
"2135","gebleg","geblek"
"2136","bosen","bosan"
"2137","anterin","antarkan"
"2138","ngantar","mengantar"
"2139","nganterin","mengantarkan"
"2140","mz","mas"
"2141","nerima","menerima"
"2142","ati2","hati-hati"
"2143","yeuh","ya"
"2144","kmn","kemana"
"2145","dianter","diantar"
"2146","disupirin","disopiri"
"2147","jidad","jidat"
"2148","ciee","cie"
"2149","novembr","november"
"2150","hri","hari"
"2151","bedain","membedakan"
"2152","genduut","gendut"
"2153","ehhh","eh"
"2154","bertatto","bertato"
"2155","brrt","berarti"
"2156","kana","kanan"
"2157","dtg","datang"
"2158","doong","dong"
"2159","sblah","sebelah"
"2160","tauuu","tau"
"2161","tengaj","tengah"
"2162","ps","pas"
"2163","gmpg","gampang"
"2164","engk","tidak"
"2165","apal","hapal"
"2166","dak","indak"
"2167","rupa2nya","rupa-rupanya"
"2168","kembaq","kembar"
"2169","tngh","tengah"
"2170","mknya","makanya"
"2171","prmpuan","perempuan"
"2172","ketuker","tertukar"
"2173","drimnanya","darimananya"
"2174","cntikan","cantikan"
"2175","edaaaan","edan"
"2176","syp","siapa"
"2177","bcnda","bercanda"
"2178","uhhh","uh"
"2179","bazengg","bajingan"
"2180","haiii","hai"
"2181","bosaan","bosan"
"2182","gitu2","begitu-gitu"
"2183","kmana2","kemana-mana"
"2184","hrsnya","harusnya"
"2185","sdg","sedang"
"2186","komentar2","komentar-komentar"
"2187","kenyataan2","kenyataan-kenyataan"
"2188","silahkan","silakan"
"2189","lwt","lewat"
"2190","sukur2","sukur-sukur"
"2191","baek2","baik-baik"
"2192","cma","cuma"
"2193","berbeda2","berbeda-beda"
"2194","dibkatakan","dikatakan"
"2195","doonk","dong"
"2196","pengikuy","pengikut"
"2197","ngmngin","mengomongkan"
"2198","sblmnya","sebelumnya"
"2199","maksd","maksud"
"2200","adkah","adakah"
"2201","menbelah","membelah"
"2202","ayuk","ayo"
"2203","mngira","mengira"
"2204","bertolernsi","bertoleransi"
"2205","slahkan","salahkan"
"2206","tolernsi","toleransi"
"2207","sbnarnya","sebenarnya"
"2208","ingi","ingin"
"2209","oalaaaa","walah"
"2210","menjelekan","menjelekkan"
"2211","hadeuuh","aduh"
"2212","dikemanain","dikemanakan"
"2213","aneh2","aneh-aneh"
"2214","bpknya","bapaknya"
"2215","baca2","baca-baca"
"2216","jwb","jawab"
"2217","komen2","komen-komen"
"2218","sebelum2nya","sebelum-sebelumnya"
"2219","sbagai","sebagai"
"2220","sedihh","sedih"
"2221","kangennnn","kangen"
"2222","gndakan","gandakan"
"2223","kangeeeeeeeenya","kangen"
"2224","gaa","tidak"
"2225","ganti'kn","menggantikan"
"2226","tnang","tenang"
"2227","amiiiiiiiiiiiiiiiiin","amin"
"2228","kgeeeen","kangen"
"2229","kangeenn","kangen"
"2230","bangeeeet","banget"
"2231","bsok","besok"
"2232","hbis","habis"
"2233","mti","mati"
"2234","bngetttt","banget"
"2235","kangeen","kangen"
"2236","bgect","banget"
"2237","kebaikan""""y","kebaikannya"
"2238","dssi","disisi"
"2239","kngenn","kangen"
"2240","kangeeeeennn","kangen"
"2241","lagii","lagi"
"2242","dasyat","dahsyat"
"2243","aer","air"
"2244","bgni","begini"
"2245","skalii","sekali"
"2246","gg","tidak"
"2247","dtinggl","ditinggal"
"2248","terbaiiikkkkk","terbaik"
"2249","murahhh","murah"
"2250","pecahhg","pecah"
"2251","kakakgh","kakak"
"2252","terbaeeeek","terbaik"
"2253","prempuan","perempuan"
"2254","manteep","mantap"
"2255","nggeh","engah"
"2256","indonesiaaa","indonesia"
"2257","inia","ini"
"2258","maluu","malu"
"2259","cobaaaa","coba"
"2260","dehhh","deh"
"2261","cepetan","cepatan"
"2262","ntapsss","mantap"
"2263","kamiiii","kami"
"2264","smangat","semangat"
"2265","qmu","kamu"
"2266","sdkit2","sedikit-sedikit"
"2267","tntg","tentang"
"2268","penyakitny","penyakitnya"
"2269","ngajarin","mengajari"
"2270","laenny","lainnya"
"2271","amiinnn","amin"
"2272","scpatny","secepatnya"
"2273","sampein","sampaikan"
"2274","tuany","tuanya"
"2275","doa2","doa-doa"
"2276","pjg","panjang"
"2277","adeeek","adek"
"2278","bca","baca"
"2279","netes","menetes"
"2280","mataq","mataku"
"2281","byangin","membayangkan"
"2282","trjadi","terjadi"
"2283","dposisi","diposisi"
"2284","tanda2nya","tanda-tandanya"
"2285","dijwb","dijawab"
"2286","tmn2nya","teman-temannya"
"2287","sayy","sayang"
"2288","salaam","salam"
"2289","ngajar","mengajar"
"2290","fto2","foto-foto"
"2291","laen","lain"
"2292","dallam","dalam"
"2293","tentanh","tentang"
"2294","nangiss","menangis"
"2295","nnton","menonton"
"2296","kejadianny","kejadiannya"
"2297","klg","keluarga"
"2298","sayaang","sayang"
"2299","msg2","masing-masing"
"2300","pgnnya","inginnya"
"2301","meluk","memeluk"
"2302","siiihhh","sih"
"2303","mupeng","muka ingin"
"2304","caya","percaya"
"2305","aduhhhhhhhhh","aduh"
"2306","buseett","buset"
"2307","mblo","jomblo"
"2308","lucuuu","lucu"
"2309","gagahx","gagahnya"
"2310","miriiiip","mirip"
"2311","kaliiii","kali"
"2312","niru","meniru"
"2313","bpkmu","bapakmu"
"2314","sangt","sangat"
"2315","baang","bang"
"2316","gasih","tidak sih"
"2317","yuu","yuk"
"2318","yuuu","yuk"
"2319","samaa","sama"
"2320","ngademin","mengademkan"
"2321","aahh","ah"
"2322","makasi","terima kasih"
"2323","looo","loh"
"2324","yokk","yuk"
"2325","gils","gila"
"2326","ono","sono"
"2327","weeeh","wih"
"2328","suksea","sukses"
"2329","temenan","berteman"
"2330","sehh","sih"
"2331","deket","dekat"
"2332","dekt","dekat"
"2333","genggg","geng"
"2334","yawloh","ya allah"
"2335","bhnya","bahannya"
"2336","loo","lo"
"2337","samaaaa","sama"
"2338","abanggku","abangku"
"2339","sayanggg","sayang"
"2340","dsni","disini"
"2341","ciieeeeeee","cie"
"2342","kokohh","engkoh"
"2343","pdhal","padahal"
"2344","takuttt","takut"
"2345","yuks","yuk"
"2346","pnjual","penjual"
"2347","yh","ya"
"2348","dung","dong"
"2349","latian","latihan"
"2350","aaaaaaakkk","ah"
"2351","mauuuu","mau"
"2352","soga","moga"
"2353","tteh","teteh"
"2354","sintron","sinetron"
"2355","astagaa","astaga"
"2356","ancurrr","hancur"
"2357","dblkang","dibelakang"
"2358","yayang","sayang"
"2359","gokillllll","gila"
"2360","aplks","aplikasi"
"2361","ska","suka"
"2362","ktawa","ketawa"
"2363","baguuus","bagus"
"2364","kaaan","kan"
"2365","ngepoin","mengepoi"
"2366","uuhh","uh"
"2367","beut","banget"
"2368","njirrr","anjir"
"2369","pengeeenn","ingin"
"2370","dongggg","dong"
"2371","hatii","hati"
"2372","besook","besok"
"2373","mauu","mau"
"2374","gtuu","begitu"
"2375","njayyy","anjay"
"2376","maacih","terima kasih"
"2377","tokayyy","tahi"
"2378","to","tapi"
"2379","mksdku","maksudku"
"2380","gituin","begitukan"
"2381","lgsung","langsung"
"2382","cba","coba"
"2383","nh","nih"
"2384","ilang""""","hilang-hilang"
"2385","giniin","beginikan"
"2386","ksini","kesini"
"2387","kubarikan","kuberikan"
"2388","ayank","sayang"
"2389","anyeng","anjing"
"2390","yankkk","sayang"
"2391","cukurrr","cukur"
"2392","gilaaaaaa","gila"
"2393","yhaaa","ya"
"2394","qaqaaaa","kakak"
"2395","sayangkuuuuu","sayangku"
"2396","kakakuuu","kakakku"
"2397","banx","bang"
"2398","edannn","edan"
"2399","bape","bawa perasaan"
"2400","artis""""","artis-artis"
"2401","ngelahirin","melahirkan"
"2402","paksain","memaksa"
"2403","biasaa","biasa"
"2404","hub","hubungan"
"2405","hubunggi","hubungi"
"2406","loooh","loh"
"2407","telimakacih","terima kasih"
"2408","nerawang","menerawang"
"2409","cantiiiik","cantik"
"2410","didapet","didapat"
"2411","tanya2","tanya-tanya"
"2412","pede","percaya diri"
